packet_count,byte_count,duration,destination_count,prediction,status,anomaly_score,threat_score
120,13164,1.7084427176281958,4,1,Normal,0.09339369114951723,45.33031544252414
108,10855,4.761834337411657,1,1,Normal,0.07916552302057983,46.041723848971
94,12392,4.8157143080103495,2,1,Normal,0.07719465397250896,46.14026730137455
124,11528,4.659457560881794,4,1,Normal,0.07830561401789299,46.084719299105345
144,10249,2.4806348010217776,2,1,Normal,0.10077540221708187,44.961229889145905
88,10172,1.0618264661154695,2,1,Normal,0.09195243996905084,45.40237800154746
80,6707,4.713274250350901,3,1,Normal,0.053117497182874285,47.344125140856285
87,10791,2.7127365932692573,1,1,Normal,0.08879928042314206,45.5600359788429
142,14925,4.866619276174678,4,1,Normal,0.00027899681203613635,49.9860501593982
90,10535,4.854479908357011,3,1,Normal,0.07600177630588822,46.19991118470559
87,9931,4.41203782186944,3,1,Normal,0.08544745840904744,45.72762707954763
114,8510,2.1777955682783428,4,1,Normal,0.11455031044656644,44.27248447767168
114,5202,2.540390914407701,2,1,Normal,0.09186704379909078,45.40664781004546
112,9218,4.404546686067428,3,1,Normal,0.10291624457366444,44.85418777131678
84,13958,2.2676880206251107,2,1,Normal,0.09098542798179371,45.45072860091032
120,9389,1.67797098674437,1,1,Normal,0.09096748577463382,45.451625711268306
107,7327,3.2272050498334006,2,1,Normal,0.10917824768779832,44.54108761561009
86,13004,4.744619096643124,1,1,Normal,0.048267020940447214,47.58664895297764
91,7931,3.784119186699892,2,1,Normal,0.11799055229948069,44.10047238502597
113,12777,3.28024468035746,3,1,Normal,0.11877308348236032,44.06134582588198
112,5197,1.388705975083074,3,1,Normal,0.07642515215118417,46.17874239244079
127,12125,3.460028906796679,1,1,Normal,0.10063650604355068,44.96817469782247
102,6930,4.960215400417053,4,1,Normal,0.03099910384094018,48.45004480795299
141,11287,1.560336060946096,1,1,Normal,0.07458046433444204,46.270976783277895
116,13800,3.073318609454947,1,1,Normal,0.07772667864406718,46.11366606779664
123,14339,4.509492287711822,2,1,Normal,0.048564806805135974,47.5717596597432
114,9282,3.9630744710168178,2,1,Normal,0.12342862386715298,43.82856880664235
144,7511,3.788062963981072,1,1,Normal,0.06330267729266315,46.834866135366845
126,14986,3.809936335948437,3,1,Normal,0.08496163382194888,45.75191830890255
82,5659,2.4379646048790207,2,1,Normal,0.08070177023979858,45.964911488010074
80,7811,2.174367377057973,4,1,Normal,0.06588343104552014,46.705828447723995
425,43296,0.9400926772715348,19,-1,Suspicious,-0.08883467038604909,54.44173351930246
417,60445,0.5509358955237333,9,-1,Suspicious,-0.010962079917251177,50.54810399586256
347,43245,0.5854397035600563,10,-1,Suspicious,-0.03555541224271608,51.7777706121358
388,59124,0.715567392458327,9,1,Normal,0.0037269670076153227,49.81365164961923
536,59899,0.6542660479509225,10,-1,Suspicious,-0.019708204596121215,50.985410229806064
571,73919,0.9495024441046814,14,-1,Suspicious,-0.0947333850274471,54.73666925137235
488,73225,0.9498264374126506,8,-1,Suspicious,-0.07729377176212926,53.86468858810647
491,65247,0.8804790401995034,17,-1,Suspicious,-0.016420267581415127,50.821013379070756
368,59222,0.6727632377014101,15,-1,Suspicious,-0.00036206087325163505,50.018103043662585
577,56211,0.8208543652141598,17,-1,Suspicious,-0.04899576149390272,52.449788074695135
546,67220,0.7094515081446836,17,-1,Suspicious,-0.022870776958881622,51.14353884794408
375,56646,0.61603033750474,17,-1,Suspicious,-0.02057309663787865,51.02865483189394
453,68649,0.2156503179105191,9,-1,Suspicious,-0.0710684398712006,53.553421993560036
443,53049,0.8300837590624027,10,-1,Suspicious,-0.004022862141322969,50.20114310706615
385,44069,0.8385755281695598,16,-1,Suspicious,-0.034027767300572,51.7013883650286
484,62580,0.6633457030914155,14,1,Normal,6.389309527976561e-05,49.99680534523601
584,61843,0.8383841593941412,11,-1,Suspicious,-0.05014399105232803,52.5071995526164
519,32849,0.6863362946720092,17,-1,Suspicious,-0.0963598282097824,54.81799141048912
368,70158,0.2860159238890708,12,-1,Suspicious,-0.0871106488976845,54.355532444884226
346,53289,0.3465650145890204,9,-1,Suspicious,-0.0642267583706303,53.21133791853152
